,지역구,대중교통이용만족도(2022),면적당 버스정류장 수,면적당 전철역 수,차량 평균 속도(2021),차량 평균 속도(2022),전철역 승하차 편의 시설 수(엘레베이터),승객_수
0,강남구,5.96,15.594936708860759,0.8860759493670886,23.7,23.5,75,437712752.0
1,강동구,6.85,17.8527856852379,0.6100040666937779,22.4,22.5,20,139724164.0
2,강북구,7.07,20.720338983050848,0.4661016949152542,20.8,20.3,21,145314524.0
3,강서구,6.94,16.74306393244873,0.5066344993968637,22.7,22.3,33,207469426.0
4,관악구,6.66,17.179573892458574,0.3381805884342239,24.6,24.9,11,287209672.0
5,광진구,6.35,18.874560375146544,0.6447831184056273,23.8,23.8,13,162570033.0
6,구로구,6.70,30.765407554671967,0.6461232604373757,22.3,22.6,26,199252435.0
7,금천구,6.74,30.261136712749618,0.30721966205837176,22.2,22.7,7,107746211.0
8,노원구,6.75,16.563205417607225,0.4514672686230249,22.7,22.3,36,177580032.0
9,도봉구,7.43,20.774818401937047,0.33898305084745767,20.8,21.2,20,108211762.0
10,동대문구,6.89,24.40225035161744,0.7735583684950773,22.9,22.6,19,162822779.0
11,동작구,6.65,29.400977995110026,1.1002444987775062,25.3,25.5,22,186977285.0
12,마포구,6.31,25.576519916142555,1.0062893081761006,23.7,23.7,39,261965742.0
13,서대문구,6.50,29.835507657402157,0.45377197958026094,23.2,23.2,12,168046892.0
14,서초구,6.75,15.52054502874175,0.4258037044922291,24.9,25.2,38,323372307.0
15,성동구,7.03,30.439952437574316,1.070154577883472,23.8,23.7,21,163212257.0
16,성북구,7.01,26.44426362896664,0.5695687550854354,23.1,23.4,17,197351735.0
17,송파구,7.01,15.230224321133411,0.8559622195985832,22.9,22.6,50,286213524.0
18,양천구,5.93,23.377369327972428,0.4595060310166571,23.2,27.2,10,137279045.0
19,영등포구,5.54,24.765784114052952,0.9368635437881874,22.9,22.9,25,267760061.0
20,용산구,7.00,17.28395061728395,0.7773205304069501,26.1,25.9,22,150154170.0
21,은평구,6.63,19.050824638168965,0.5048805116122518,20.9,20.8,18,182073684.0
22,종로구,6.97,19.907988289418654,0.6273525721455457,22.6,22.3,35,261543219.0
23,중구,6.75,24.799196787148592,3.514056224899598,20.7,20.4,36,283675243.0
24,중랑구,6.39,21.405405405405407,0.7027027027027027,21.9,21.9,17,129014644.0
