자치구,노인인구수,일반노인수,독거노인수
강남구,83097,67665,15432
강동구,79706,63647,16059
강북구,67056,41861,25195
강서구,98659,75796,22863
관악구,83420,63112,20308
광진구,54854,42695,12159
구로구,77259,61276,15983
금천구,43772,33041,10731
노원구,93279,69509,23770
도봉구,68114,53153,14961
동대문구,65154,48114,17040
동작구,68766,54075,14691
마포구,56582,43253,13329
서대문구,56785,43165,13620
서초구,63328,53010,10318
성동구,48238,37007,11231
성북구,78427,60202,18225
송파구,105161,86420,18741
양천구,73522,58391,15131
영등포구,66014,50806,15208
용산구,39478,28308,11170
은평구,90556,69756,20800
종로구,28265,19692,8573
중구,25353,17800,7553
중랑구,76116,56856,19260
