자치구,호텔수,노래방시설수,오락실시설수,빙상장 수,체육시설 수,편의시설 수,공연시설 수,전시시설 수,관광지 수,공원 수,동/식물원/휴양림 수,음식점 수,패션/미용소비 수,대형소비시설 수,간이운동장 수,체육도장 수,골프/골프연습장 수,당구장 수,수영장 수,체력단련장 수,도서관 수,목욕탕 수,영화관 수,유적지 수,축제 수,노인복지관 시설수,경로당 시설수,노인교실 시설수,노인시설 수
종로구,42,91,8,1,12,2413,329,176,151,85,6,6442,2207,3,28,23,33,88,3,62,9,159,6,72,926,3,62,10,75
중구,106,64,5,1,4,3265,104,126,4,95,6,6363,4489,108,3,31,93,170,9,115,8,185,9,20,399,2,50,3,55
용산구,14,74,0,0,7,2817,149,104,4,102,2,5693,1612,4,8,32,41,42,7,80,4,170,3,7,50,2,89,21,112
성동구,5,159,9,1,0,2057,165,95,4,92,1,5278,1505,4,0,52,54,71,6,82,7,158,2,0,105,4,164,12,180
광진구,12,306,5,1,3,3603,78,115,12,80,1,6227,2235,7,5,82,56,129,9,122,7,155,6,2,113,1,95,8,104
동대문구,12,177,14,0,2,2533,21,140,6,100,0,6064,2089,8,5,70,45,83,7,89,8,108,1,4,80,1,131,16,148
중랑구,3,323,10,1,3,3911,21,116,4,123,0,5107,2072,2,7,84,34,106,4,77,5,125,3,2,43,5,128,11,144
성북구,4,144,6,1,3,2708,73,173,7,62,1,5789,2147,21,40,117,49,133,9,94,13,201,2,2,40,6,177,6,189
강북구,6,300,26,2,2,1715,20,106,10,109,3,4712,1545,8,40,64,22,94,2,56,7,125,3,4,97,1,100,17,118
도봉구,3,213,13,0,1,2477,16,118,3,97,1,3810,1441,1,78,83,36,100,3,66,9,90,2,1,136,5,136,8,149
노원구,1,257,4,2,4,1526,24,205,9,228,2,5473,2246,23,40,137,86,110,8,90,9,113,5,8,128,3,246,14,263
은평구,12,198,17,0,4,3094,35,185,12,136,1,5884,2289,6,27,98,48,120,5,99,8,134,2,0,258,7,157,17,181
서대문구,12,100,2,1,5,2068,68,129,3,124,1,5008,1461,28,23,63,27,58,3,49,4,125,5,3,23,4,112,12,128
마포구,22,187,2,5,7,3635,507,133,8,134,1,9470,2449,2,100,81,76,81,7,150,6,129,8,1,252,4,155,13,172
양천구,1,218,4,4,5,2301,46,149,3,138,0,4744,2020,5,2,141,91,105,17,132,10,124,2,0,50,4,164,23,191
강서구,20,303,18,1,4,5172,97,210,2,257,1,8160,2817,3,73,165,144,139,15,225,9,153,6,2,22,5,219,25,249
구로구,14,293,44,2,2,3094,52,167,2,100,2,6073,2010,10,54,96,92,127,6,107,13,129,3,2,150,2,201,20,223
금천구,10,191,14,0,1,3203,41,80,1,91,0,4568,1822,10,35,56,45,123,2,53,4,89,2,0,47,3,73,9,85
영등포구,39,312,18,3,6,4061,145,165,5,144,1,8541,2629,25,64,88,127,150,8,145,5,165,3,0,27,1,175,23,199
동작구,4,168,4,0,4,1508,44,171,3,110,0,4459,1514,2,39,83,45,80,5,91,7,116,2,5,28,3,141,9,153
관악구,15,267,59,0,4,2336,44,196,5,151,0,6969,2477,6,3,85,49,77,7,129,5,160,2,1,84,1,113,17,131
서초구,12,221,3,7,23,7716,416,196,3,155,4,8133,3056,28,166,117,188,210,14,253,9,187,3,6,150,4,136,6,146
강남구,63,221,1,3,54,11678,1374,267,2,198,6,15139,5937,142,110,147,432,177,13,399,15,404,10,6,80,6,167,20,193
송파구,22,456,9,18,16,4606,97,258,12,256,1,9811,3408,30,10,180,291,206,18,295,12,229,4,8,184,3,172,16,191
강동구,4,228,12,0,2,5180,38,169,3,166,3,6555,2683,8,5,121,80,112,5,120,10,162,3,1,91,3,124,10,137
