,description,link,media,title
0,◆ 호국보훈의 달 사랑담은 짜장면 나눔 알프스하동종합복지관(관장 김용환)은 호국보훈의 달을 맞아 지난 25일 호국보훈 가족과 복지관 이용자 400명을 대상으로 사랑담은 짜장면 나눔 행사를 가졌다고 밝혔다. 이번...,http://www.betanews.net:8080/article/1197995.html,베타뉴스,[하동군 브리핑] 2020 하동 토지문학제 작품 공모 등
1,오븐에서 바로 나온 빵은 '의외로' 맛이 없다. 갓 나온 빵보다는 적정 온도로 식은 빵이 훨씬 맛있다는 게 빵집 사장 정모씨의 지론이다. 발효된 빵 안에 남아있던 가스가 빠져나가면서 식으면 그때가 바로 빵의 최적의...,https://www.nocutnews.co.kr/news/5364296,노컷뉴스언론사 선정,비닐옷 입고 짜장면처럼 배달도…'언택트 브레드'의 시대
2,아침에 단 한번만 발라주면 집에 귀가할 때까지 HD처럼 생생하게 살아남는 좀비(?) 틴트 립스틱을 소개할 테니 말이다.아래는 최근 각종 SNS상에서 지속력은 물론 쨍한 발색으로 짜장면을 먹어도 유지된다는 입소문이 자자한...,https://www.insight.co.kr/news/286889,인사이트,짜장면 한 그릇 다 먹어도 입술색 살아있는 '고정력甲' 립스틱 5종
3,"‘어르신 짜장면 드시는 날’ 행사를 개최했다고 24일 밝혔다. 이날 관내 타워빌아파트 경로당 회원 등 70세 이상 어르신 150여 명을 모시고, 짜장면과 과일, 음료수, 빵을 대접하는 자리를 마련했다. 이번 행사는 (사)...",http://www.kukinews.com/news/article.html?no=802490,쿠키뉴스,"태백 탄광유물보존회, 코로나19 극복 '어르신 짜장면 드시는 날’ 행사 개최"
4,"운영하던 갈옷 공방이 있던 곳, ‘초콜릿 박물관’ 홍보관 등이 있다. ‘짜장면 시키신 분~’ TV CF 이후 인기를 끌고 있는 마지막짜장면집 등이 있다. 이 집 젊은 여주인은 스태프 유니폼에 ‘버리지 마라도’라고 적었다.",http://news.heraldcorp.com/view.php?ud=20200617000767,헤럴드경제,"“짜장면 시키신 분~” 그곳, 마라도서 해식동굴 발견"
5,"최달연 함양 마천 피아골에 가면 외팔로 탁, 탁 짜장면 가락을 뽑아내는 그 사내가 있다 구로공단 생활... 외팔이 짜장면집 사장이 되어 밥걱정은 면했지만 기울어진 개암나무처럼 외로운 그는 지리산을 닮았다 마음에...",https://www.sedaily.com/NewsView/1Z428OIGWB,서울경제,[시로여는 수요일] 외팔이 짜장면집
6,거창군 한마음봉사단(회장 정재원)과 아림 로터리클럽(회장 백옥경)은 지난 21일 거창군 북상면에 위치한 갈계숲을 찾아 갈계마을 등 2개 마을 주민 100여명에게 짜장면 나눔 봉사활동을 펼쳤다.,http://www.knnews.co.kr/news/articleView.php?idxno=1327879,경남신문,거창 한마음봉사단·아림로타리클럽 ‘짜장면 나눔’
7,"짜장면봉사 활동을 이끌고 있는 '짜봉 트리오' 김영곤 경장(사진 왼쪽부터), 권유현 미용사, 조성각... 짜봉은 회원들이 주로 봉사하는 식사대접, 특히 '짜장면봉사'를 줄인 말이다. 이들의 주 역할은...",http://www.joongboo.com/news/articleView.html?idxno=363427992,중부일보,"[사람in] 용인 짜봉트리오 ""매월 첫째주 화요일은 맛있는 짜장면이 공짜"""
8,"가격이 하락한 품목은 냉면과 비빔밥, 짜장면, 삼겹살이었다. 가장 하락 폭이 큰 것은 냉면이었다. 서울... 짜장면 가격은 같은 기간 5154원에서 5115원으로 0.8% 하락했다. 삼겹살 200g 가격도 1만6701원에서...",https://biz.chosun.com/site/data/html_dir/2020/06/07/2020060700267.html?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,"코로나19로 냉면, 비빔밥, 짜장면, 삼겹살 외식비 하락"
9,2006년 MBC 드라마 ‘환상의 커플’에서 짜장면을 먹던 장면과 최근 모습이 함께 올라온 겁니다. 새삼 새로울 것도 없고 특별한 계기는 없어보이지만 겸사겸사 14F는 한예슬 씨의 과거부터 현재를 모아봤습니다....,https://imnews.imbc.com/original/14f/5819817_29052.html,MBC,[14F] 한예슬이 직접 부른 OST 들으며 짜장면을 먹어보자
