,company,etc,paper_name,paper_url,submit,submit_date,time
0,대신증권,-,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000188,대신증권,2020.06.29,13:46
1,대신증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000185,대신증권,2020.06.29,13:43
2,씨에스윈드,본 공시사항은 한국거래소 유가증권시장본부 소관임,투자판단관련주요경영사항  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800166,씨에스윈드,2020.06.29,13:42
3,대신증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000182,대신증권,2020.06.29,13:38
4,삼성증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000181,삼성증권,2020.06.29,13:37
5,삼성증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000179,삼성증권,2020.06.29,13:35
6,삼성증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000178,삼성증권,2020.06.29,13:33
7,미래에셋대우,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000169,미래에셋대우,2020.06.29,13:27
8,삼성증권,-,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000168,삼성증권,2020.06.29,13:27
9,미래에셋대우,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000166,미래에셋대우,2020.06.29,13:26
10,미래에셋대우,-,일괄신고추가서류(기타파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000164,미래에셋대우,2020.06.29,13:25
11,미래에셋대우,-,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000162,미래에셋대우,2020.06.29,13:24
12,삼성증권,-,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000160,삼성증권,2020.06.29,13:23
13,삼성증권,-,일괄신고추가서류(파생결합증권-주가연계증권)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000159,삼성증권,2020.06.29,13:21
14,대성산업,본 보고서 제출 후 정정신고가 있으니 관련 보고서를 참조하시기 바람,주요사항보고서(자기주식처분결정)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000153,대성산업,2020.06.29,13:14
15,키움증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000109,키움증권,2020.06.29,10:58
16,DB금융투자,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000102,DB금융투자,2020.06.29,10:50
17,SKC ,본 공시사항은 한국거래소 유가증권시장본부 소관임,지속가능경영보고서등관련사항(자율공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800106,SKC,2020.06.29,10:50
18,유안타증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000081,유안타증권,2020.06.29,10:24
19,유안타증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000070,유안타증권,2020.06.29,10:13
20,유안타증권,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000061,유안타증권,2020.06.29,10:03
21,NH투자증권,-,투자설명서(일괄신고)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000045,NH투자증권,2020.06.29,09:46
22,NH투자증권,-,일괄신고추가서류(파생결합사채-주가연계파생결합사채)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000036,NH투자증권,2020.06.29,09:39
23,진흥기업,본 공시사항은 한국거래소 유가증권시장본부 소관임,단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800070,진흥기업,2020.06.29,09:30
24,동양물산기업,-,신탁계약에의한취득상황보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000013,동양물산기업,2020.06.29,08:48
25,진원생명과학,본 공시사항은 한국거래소 유가증권시장본부 소관임,유상증자또는주식관련사채등의청약결과(자율공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800059,진원생명과학,2020.06.29,08:45
26,LF,-,투자설명서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000008,LF,2020.06.29,08:37
27,키움증권,-,투자설명서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000006,키움증권,2020.06.29,08:33
28,현대로템,본 공시사항은 한국거래소 유가증권시장본부 소관임,단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800007,현대로템,2020.06.29,08:12
29,셀트리온,본 공시사항은 한국거래소 유가증권시장본부 소관임,투자판단관련주요경영사항  (램시마SC 추가 적응증 유럽 판매 승인권고 획득),http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800002,셀트리온,2020.06.29,07:48
